ABATACEPTE,7896016806469,250 MG PO LIOF INJ CT FA + SER DESC,AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,0
ABATACEPTE,7896016808180,125 MG/ML SOL INJ CT 1 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,1665.96
ABATACEPTE,7896016808197,125 MG/ML SOL INJ CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,6663.86
ABATACEPTE,7896016807442,125 MG/ML SOL INJ CT 1 SER PREENCHIDA,AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,1665.96
ABATACEPTE,7896016807459,125 MG/ML SOL INJ CT 1 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,1665.96
ABATACEPTE,7896016807466,125 MG/ML SOL INJ CT 4 SER PREENCHIDA,AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,6663.86
ABATACEPTE,7896016807473,125 MG/ML SOL INJ CT 4 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,6663.86
ABCIXIMABE,7896382701801,2 MG/ML SOL INJ CT FA VD INC X 5 ML,"INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA, ANTAGONISTAS GLICOPROTEÍNA IIB/IIIA",0
ACARBOSE,7891106001748,100 MG COM CT BL AL/AL X 30,ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,63.31
ACARBOSE,7894916503761,100 MG COM CT 3 BL AL PVDC LEIT X 10,ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,40.55
ACARBOSE,7891106001731,50 MG COM CT BL AL/AL X 30,ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,42.43
ACARBOSE,7894916503754,50 MG COM CT 3 BL AL PVDC LEIT X 10,ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,26.71
ACEBROFILINA,7891317485153,5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED,EXPECTORANTES,17.16
ACEBROFILINA,7896658002113,10 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML,EXPECTORANTES,41.46
ACEBROFILINA,7896181924081,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,EXPECTORANTES,24.59
ACEBROFILINA,7896523209111,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,EXPECTORANTES,22.74
ACEBROFILINA,7896523209098,10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),EXPECTORANTES,0
